Company Name,Symbol,Country,Sector,Industry,Last EPS,3 years av,Last Growth,EPS average Growth,EPS median Growth,Years of Data,Debt to Equity,NWC per share,ROE,Free Cash Flow,Growth percentile,Total Growth percentile,Last Growth percentile,Total last Growth percentile,NWC percentile,DER percentile,Score,Performance
Guardant Health Inc.,GH,United States,Health Care,Medical Specialities,-6.4,-4.34,-0.6,-1.08,-0.6,4,5.95,9.5,-10.88,-80163000,0.25862069,0.185377358,0.24137931,0.202830189,0.844827586,0.965517241,-4,Regular growth
Geron Corporation,GERN,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.4,-0.33,-0.06,-0.03,-0.06,4,0.19,0.45,-1.77,-51031000,0.562388592,0.549528302,0.436720143,0.464622642,0.268156425,0.672348485,1.4,Regular growth
GlucoTrack Inc.,GCTK,Israel,Health Care,Medical/Dental Instruments,-0.3,-0.25,-0.12,-0.07,-0.12,4,0.03,0.27,-3.61,-1880000,0.421052632,0.521226415,0.495614035,0.417924528,0.150442478,0.256880734,0.9,Regular growth
Generation Bio Co.,GBIO,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-2.4,-2.47,-0.11,-0.11,-0.11,4,0.34,4.02,-0.48,-25506000,0.515151515,0.495754717,0.396613191,0.426886792,0.749534451,0.740530303,0.6,Regular growth
Gain Therapeutics Inc.,GANX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.5,-1.39,-0.08,-0.89,-0.08,4,0.14,0.59,-0.93,-3967365,0.199643494,0.210377358,0.422459893,0.45,0.301675978,0.625,0.7,Underperformer
Galectin Therapeutics Inc.,GALT,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.7,-0.53,-0.25,-0.19,-0.25,4,-1.2,0.18,1.14,-7637000,0.466131907,0.446226415,0.318181818,0.34009434,0.183426443,0.079545455,3.4,Regular growth
First Wave BioPharma Inc.,FWBI,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-21,-1697.44,0.99,0.06,0.35,4,0.07,0.11,-5.34,-3331212,0.64171123,0.627358491,0.950089127,0.955660377,0.162011173,0.535984848,-1656.8,Regular growth
Fusion Pharmaceuticals Inc. Common Shares,FUSN,Canada,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-2,-2.51,-0.05,-1.11,-0.05,4,0.28,2.69,-0.54,-19312000,0.105769231,0.180660377,0.4375,0.469811321,0.670103093,0.726315789,-1,Underperformer
Fulcrum Therapeutics Inc.,FULC,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-2.4,-2.51,-0.07,0.26,0.18,4,0.04,4.02,-0.55,-22971000,0.803921569,0.776886792,0.430481283,0.458490566,0.749534451,0.46969697,0.9,Regular growth
Fortrea Holdings Inc.,FTRE,United States,Health Care,Medical Specialities,0.6,-0.77,-0.42,0.43,0.43,3,1,5.44,0.02,-4300000,0.896551724,0.861792453,0.336206897,0.266509434,0.672413793,0.75862069,1.2,Outperformer
Fresh Tracks Therapeutics Inc.,FRTX,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-7.5,-22.63,0.66,0.63,0.66,4,0,1.83,-2.93,3082000,0.923076923,0.916509434,0.956730769,0.890566038,0.556701031,0.205263158,-59.8,Outperformer
Freeline Therapeutics Holdings plc American Depositary Shares,FRLN,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-22.5,-61.2,0.62,0.41,0.42,4,0.13,0.25,-1.7,-8679000,0.855769231,0.852358491,0.923076923,0.875943396,0.237113402,0.552631579,-77.1,Outperformer
Frequency Therapeutics Inc.,FREQ,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-2.3,-1.87,0.06,-0.44,0.06,4,0.61,1.08,-1.18,-8424000,0.325311943,0.327830189,0.545454545,0.568867925,0.402234637,0.808712121,0.4,Regular growth
Fonar Corporation,FONR,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,1.3,1.51,-0.25,0.06,0.21,4,0.24,17.32,0.06,2539000,0.702702703,0.627358491,0.243243243,0.34009434,0.971428571,0.542857143,7.7,Regular growth
Amicus Therapeutics Inc.,FOLD,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.8,-0.94,0.11,0.18,0.14,4,3.41,1.01,-1.92,-18335000,0.729055258,0.709433962,0.577540107,0.604245283,0.384543762,0.965909091,0.9,Regular growth
Finch Therapeutics Group Inc.,FNCH,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-72,-47.37,-0.62,-0.59,-0.62,4,1.19,15.6,-1.2,-5261000,0.278966132,0.277830189,0.196969697,0.2,0.975791434,0.892045455,-30.2,Regular growth
Paragon 28 Inc.,FNA,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,-0.9,-0.33,-3.83,-3.15,-3.83,4,0.22,1.36,-0.48,-21042000,0.108108108,0.073584906,0.081081081,0.043867925,0.314285714,0.485714286,0.4,Underperformer
Fulgent Genetics Inc.,FLGT,United States,Health Care,Medical Specialities,4.6,9.97,-0.72,148.87,0.84,4,0,15.3,0.11,5317000,1,1,0.172413793,0.172169811,0.913793103,0.094827586,26.8,Outperformer
Flora Growth Corp.,FLGC,Canada,Health Care,Pharmaceuticals and Biotechnology,-13.6,-10.02,-0.4,-0.42,-0.42,3,0.24,0.89,-0.93,512000,0.375,0.335849057,0.375,0.273113208,0.25,1,-1.4,Regular growth
Homology Medicines Inc.,FIXX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.1,-1.54,0.95,0.4,0.38,4,0.32,1.41,-0.03,-24941000,0.874331551,0.846698113,0.941176471,0.950471698,0.461824953,0.731060606,3.1,Outperformer
Foghorn Therapeutics Inc.,FHTX,United States,Health Care, Medicinal Chemicals and Botanical Products ,-2.6,-3.86,0.04,-0.37,0.04,4,-0.82,5.06,-972.16,-27292000,0.642857143,0.360377358,0.598214286,0.548584906,0.839285714,0.132075472,-1074.6,Regular growth
FibroGen Inc,FGEN,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-3.1,-2.8,0,-0.62,-0.49,4,-1.33,1.57,198.41,-85222000,0.26916221,0.270283019,0.483957219,0.50754717,0.484171322,0.071969697,129.2,Regular growth
Fennec Pharmaceuticals Inc.,FENC,United States,Health Care,Pharmaceuticals and Biotechnology,-0.9,-0.78,-0.34,-0.14,-0.19,4,-2.44,0.57,9.23,-3946000,0.75,0.474528302,0.5,0.297641509,0.125,0.142857143,6.4,Regular growth
Femasys Inc.,FEMY,United States,Health Care,Medical/Dental Instruments,-1,-0.95,0.14,0.02,0.14,4,0.27,0.47,-0.75,-2882911,0.5,0.589150943,0.684210526,0.620283019,0.185840708,0.564220183,1.4,Regular growth
4D Molecular Therapeutics Inc.,FDMT,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-3.3,-4.9,-0.29,-0.41,-0.29,4,0.05,7.25,-0.46,-1576000,0.346702317,0.343867925,0.303030303,0.319811321,0.899441341,0.492424242,-1.8,Regular growth
Forte Biosciences Inc.,FBRX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.8,-2.89,0.48,-4.85,0.48,4,0,1.09,-0.36,-9129000,0.048128342,0.05,0.798573975,0.820754717,0.405959032,0.210227273,0.7,Underperformer
Fortress Biotech Inc.,FBIO,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-14.6,-12.05,-0.23,-0.11,-0.22,4,-5.3,0.05,-1.73,-17780000,0.515151515,0.495754717,0.325311943,0.348113208,0.142458101,0.026515152,-11.3,Regular growth
Fate Therapeutics Inc.,FATE,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-2.9,-2.42,-0.3,-0.28,-0.3,4,0.26,3.27,-0.58,-38838000,0.288461538,0.40754717,0.221153846,0.314622642,0.721649485,0.705263158,-1.1,Regular growth
Eyenovia Inc.,EYEN,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.8,-0.75,-0.69,0.05,0.36,4,1.01,0.47,-1.63,-7543975,0.630124777,0.61509434,0.179144385,0.179716981,0.275605214,0.878787879,0.6,Regular growth
National Vision Holdings Inc.,EYE,United States,Health Care,Ophthalmic Goods,0.5,0.8,-0.64,0.57,0.1,4,1.21,1.49,0.05,13211000,0.428571429,0.90754717,0.571428571,0.191509434,0.428571429,1,2.2,Outperformer
Exelixis Inc.,EXEL,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.6,0.54,-0.22,0.06,-0.22,4,0.08,3.91,0.07,113541000,0.5625,0.627358491,0.293269231,0.354716981,0.762886598,0.489473684,2.6,Regular growth
Exact Sciences Corporation,EXAS,United States,Health Care,Medical Specialities,-3.5,-4.16,-0.02,-0.67,-0.02,4,0.79,3.71,-0.2,24361000,0.310344828,0.257075472,0.568965517,0.487735849,0.586206897,0.672413793,-2.3,Regular growth
Edgewise Therapeutics Inc.,EWTX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.3,-0.92,-0.11,-0.66,-0.11,4,0.02,4.44,-0.06,-22515000,0.259358289,0.261792453,0.396613191,0.426886792,0.776536313,0.410984848,2.4,Regular growth
Edwards Lifesciences Corporation,EW,United States,Health Care,Industrial Specialties,2.4,2.04,0.03,0.22,0.03,4,0.1,4.35,0.26,356200000,0.418604651,0.744339623,0.488372093,0.537735849,0.511627907,0.406976744,3.2,Regular growth
Evoke Pharma Inc.,EVOK,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-2.6,-4.01,0.18,0.01,0.18,4,-5.74,1.67,-2.01,-1041605,0.59714795,0.581132075,0.61942959,0.644811321,0.495344507,0.022727273,-3.3,Regular growth
Evelo Biosciences Inc.,EVLO,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-26.2,-39.93,0.43,0.19,0.11,4,-1.27,-1.1,22.94,-10455000,0.741532977,0.720283019,0.76916221,0.795283019,0.031657356,0.073863636,-39.1,Regular growth
Evaxion Biotech A/S American Depositary Share,EVAX,Denmark,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-1,-1.06,0.22,-0.24,-0.36,4,4.14,0.26,-2.79,,0.307692308,0.427358491,0.745192308,0.675943396,0.24742268,0.968421053,-0.4,Regular growth
Eton Pharmaceuticals Inc.,ETON,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.4,-0.59,-3.5,-0.95,-0.29,4,0.34,0.65,-0.69,873000,0.196078431,0.204716981,0.035650624,0.046226415,0.311918063,0.740530303,0.4,Underperformer
89bio Inc.,ETNB,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-2.9,-3.5,0.35,0.26,0.35,4,0.06,5.74,-0.67,-30361000,0.803921569,0.776886792,0.704991087,0.739150943,0.839851024,0.515151515,-1.2,Regular growth
Establishment Labs Holdings Inc. Common Shares,ESTA,Costa Rica,Health Care,Industrial Specialties,-3.1,-2.14,-0.79,-0.24,-0.06,4,6.17,5.29,9.19,-37289000,0.220930233,0.427358491,0.139534884,0.161792453,0.604651163,1,0.8,Regular growth
Esperion Therapeutics Inc.,ESPR,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-3.5,-6.02,0.62,-0.21,-0.46,4,-0.64,0.7,0.72,-19325000,0.459001783,0.439622642,0.852941176,0.875943396,0.32122905,0.095643939,-3.8,Regular growth
Eterna Therapeutics Inc.,ERNA,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-8.1,-22.73,0.86,-7.13,-7.13,3,11.58,-0.48,-2.03,-5826000,0.035650624,0.036792453,0.926916221,0.935849057,0.054934823,0.988636364,-1.4,Underperformer
Erasca Inc.,ERAS,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-2,-2.76,-0.08,-7.93,-0.08,4,0.17,1.85,-0.59,-24360000,0.028520499,0.030188679,0.422459893,0.45,0.515828678,0.65530303,0.2,Underperformer
EQRx Inc. ,EQRX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.4,-0.49,-0.16,0.22,0.22,3,0,2.18,-0.12,-61907000,0.76916221,0.744339623,0.365418895,0.389622642,0.560521415,0.210227273,4.9,Regular growth
Equillium Inc.,EQ,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.9,-1.56,-0.36,-0.09,0.01,4,0.04,0.74,-1.95,-1924000,0.525846702,0.50990566,0.268270945,0.288207547,0.329608939,0.46969697,0.5,Regular growth
ESSA Pharma Inc.,EPIX,Canada,Health Care,Biotechnology: Pharmaceutical Preparations,-0.8,-0.93,0.17,0.12,0.12,3,0,3.4,-0.21,-3324365,0.692513369,0.677358491,0.614973262,0.638679245,0.697392924,0.210227273,5.2,Regular growth
Evolus Inc.,EOLS,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.3,-2.37,-0.41,-0.04,-0.41,4,-4.91,0.76,-4.02,-34821000,0.557040998,0.541981132,0.254010695,0.269811321,0.337057728,0.03030303,-1.2,Regular growth
Enzo Biochem Inc. ($0.01 Par Value),ENZ,United States,Health Care,Medical Specialities,,-0.27,-3.38,-1.06,-1.06,4,0.09,1.17,0.26,-17604000,0.275862069,0.189622642,0.068965517,0.049056604,0.327586207,0.215517241,,Regular growth
Enveric Biosciences Inc.,ENVB,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-13,-58.73,0.87,0.34,0.87,4,0,0.75,-1.19,-2740441,0.846702317,0.819811321,0.930481283,0.939150943,0.334264432,0.210227273,-113.5,Regular growth
Entera Bio Ltd. Ordinary Shares,ENTX,Israel,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-0.5,-0.53,0.04,0.2,0.25,4,0.06,0.21,-1.11,-1525000,0.701923077,0.729245283,0.548076923,0.548584906,0.226804124,0.431578947,0.2,Regular growth
Enanta Pharmaceuticals Inc.,ENTA,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-6.4,-5.4,-0.08,-0.59,-0.51,4,0.12,17.1,-0.62,-22970000,0.278966132,0.277830189,0.422459893,0.45,0.979515829,0.604166667,-3.1,Regular growth
The Ensign Group Inc.,ENSG,United States,Health Care,Hospital/Nursing Management,4,3.48,0.15,0.27,0.15,4,1.29,5.74,0.18,97569000,0.625,0.786792453,0.875,0.626415094,0.6875,0.642857143,9.1,Regular growth
Ensysce Biosciences Inc.,ENSC,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-139.4,-164.85,0.61,-317.06,-317.06,3,0.31,0.25,6.01,-2262646,0.001782531,0.001886792,0.849376114,0.871698113,0.208566108,0.727272727,-76.1,Underperformer
Enlivex Therapeutics Ltd. Ordinary Shares,ENLV,Israel,Health Care,Biotechnology: Pharmaceutical Preparations,-1.7,-1.13,-1.09,-0.27,0.1,4,0.12,1.48,-0.55,-5468000,0.431372549,0.412735849,0.124777184,0.127358491,0.475791434,0.604166667,1,Regular growth
Embecta Corp.,EMBC,United States,Health Care,Medical/Dental Instruments,,6.22,-0.47,-0.25,-0.25,4,-1.99,6.9,-0.09,20400000,0.311403509,0.421698113,0.293859649,0.244339623,0.721238938,0.073394495,,Regular growth
Eliem Therapeutics Inc,ELYM,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.7,-2.64,0.59,-0.46,-0.82,4,0,4.06,-0.35,3490000,0.317290553,0.317924528,0.838680927,0.865566038,0.753258845,0.210227273,1.3,Regular growth
Enliven Therapeutics Inc.,ELVN,United States,Health Care,Biotechnology: Pharmaceutical Preparations,,-0.53,-0.3,-0.3,-0.3,3,0,6.23,0.49,-15910000,0.406417112,0.391981132,0.297682709,0.314622642,0.866852886,0.210227273,,Regular growth
Elevance Health Inc.,ELV,United States,Health Care,Medical Specialities,24.8,22.51,0,0.12,0,4,0.64,46.48,0.17,2294000000,0.793103448,0.677358491,0.586206897,0.50754717,0.965517241,0.534482759,53.5,Regular growth
Elicio Therapeutics Inc.,ELTX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-88.8,-58.23,-0.06,-14.27,-0.28,4,0.54,1.01,0.28,-5229000,0.01426025,0.016981132,0.436720143,0.464622642,0.384543762,0.801136364,-19.5,Underperformer
Eloxx Pharmaceuticals Inc.,ELOX,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-16.6,-29.73,0.56,0.27,0.36,4,-0.29,-5.83,3.38,-3450000,0.754807692,0.786792453,0.899038462,0.854716981,0.010309278,0.136842105,-41.9,Regular growth
Electromed Inc.,ELMD,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0.4,0.3,0.38,-0.03,-0.04,4,0,3.56,0.08,-377000,0.540540541,0.549528302,0.756756757,0.756132075,0.557142857,0.128571429,8,Regular growth
Elevation Oncology Inc.,ELEV,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-4.1,-2.59,-0.55,-1.04,-1.04,3,0.48,2.15,-1.94,-13357000,0.187165775,0.194339623,0.214795009,0.219811321,0.554934823,0.783143939,-0.2,Underperformer
Eledon Pharmaceuticals Inc.,ELDN,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-6.2,-8.07,-1.64,-0.14,0.36,4,0.01,2.55,-1.04,-12251000,0.49197861,0.474528302,0.081105169,0.09009434,0.600558659,0.334280303,-4.3,Regular growth
Elanco Animal Health Incorporated,ELAN,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.2,-0.82,0.84,-2.38,0.24,4,0.82,4.81,-0.01,19000000,0.087344029,0.09245283,0.921568627,0.931132075,0.804469274,0.856060606,2.9,Underperformer
Eiger BioPharmaceuticals Inc.,EIGR,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-2.3,-1.88,-1.32,-0.17,0.25,4,-25.52,0.86,-1.75,-14554000,0.350961538,0.457075472,0.086538462,0.110849057,0.463917526,0.010526316,-1.4,Regular growth
Encompass Health Corporation,EHC,United States,Health Care,Hospital/Nursing Management,2.7,3.22,-0.34,-0.04,-0.21,4,1.34,1.74,0.15,68500000,0.3125,0.541981132,0.625,0.297641509,0.5625,0.714285714,4.1,Regular growth
Enhabit Inc.,EHAB,,Health Care,Hospital/Nursing Management,-0.8,0.97,-1.36,0.41,0.48,4,0.87,1.49,0.07,4400000,0.875,0.852358491,0.125,0.108962264,0.4375,0.5,2.2,Regular growth
Eagle Pharmaceuticals Inc.,EGRX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,2.7,0.98,5.14,1.08,-0.14,4,0.28,5.7,0.15,-132000,0.962566845,0.947641509,0.996434938,0.993396226,0.837988827,0.714962121,12,Outperformer
eFFECTOR Therapeutics Inc.,EFTR,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-0.6,-0.04,-2.25,51.88,51.88,3,-5.16,-0.07,-5.82,-7757000,1,0.999056604,0.055258467,0.071698113,0.098696462,0.028409091,0.2,Outperformer
Edesa Biotech Inc. Common Shares,EDSA,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-7.3,-6.74,0.05,-0.22,-0.22,3,0.01,0.26,-1.87,-1805221,0.456327986,0.436792453,0.535650624,0.55990566,0.215083799,0.334280303,-4.7,Regular growth
Editas Medicine Inc.,EDIT,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-3.2,-2.68,-0.13,-0.1,-0.13,4,,,-0.61,-40044000,0.4375,0.503301887,0.375,0.410377358,,,,Regular growth
electroCore Inc.,ECOR,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,-4.7,-6.02,-0.08,0.35,0.52,4,0.06,1.56,-1.3,-2447000,0.837837838,0.826415094,0.378378378,0.45,0.4,0.285714286,-5.3,Regular growth
Emergent Biosolutions Inc.,EBS,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-4.5,1.82,-2.05,0.72,-0.25,4,,,-0.16,87600000,0.94741533,0.928773585,0.064171123,0.076415094,,,,Outperformer
Eargo Inc.,EAR,United States,Health Care,Medical Specialities,-39.7,-65.6,0.51,0.05,-0.07,4,0.17,1.88,-1.56,-14756000,0.74137931,0.61509434,0.879310345,0.832075472,0.448275862,0.275862069,-129.1,Regular growth
Dynatronics Corporation,DYNT,United States,Health Care,Medical/Dental Instruments,-1.5,-0.79,-0.11,-1.07,-0.11,4,0.11,1.01,-0.3,-1665000,0.157894737,0.187264151,0.51754386,0.426886792,0.300884956,0.399082569,1.3,Underperformer
Dyne Therapeutics Inc.,DYN,United States,Health Care, Medicinal Chemicals and Botanical Products ,-3.2,-3.43,-0.1,-0.79,-0.1,4,0.19,2.09,-0.67,-50769000,0.4375,0.23254717,0.4375,0.43490566,0.517857143,0.735849057,-1.4,Regular growth
Dyadic International Inc.,DYAI,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-0.3,-0.38,0.28,-0.07,-0.1,4,0.02,0.19,-0.88,-1961721,0.461538462,0.521226415,0.778846154,0.703301887,0.211340206,0.289473684,0.6,Regular growth
Daxor Corporation,DXR,United States,Health Care,Medical/Dental Instruments,0.9,0.59,-0.26,0.81,-0.26,4,,0,0.18,,0.894736842,0.936792453,0.377192982,0.335377358,0.07079646,,,Outperformer
DexCom Inc.,DXCM,United States,Health Care,Medical/Dental Instruments,0.8,0.87,0.55,1.19,0.55,4,1.17,7.45,0.16,218800000,0.938596491,0.952830189,0.894736842,0.850471698,0.769911504,0.862385321,7.7,Outperformer
Dynavax Technologies Corporation,DVAX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,2,0.59,2.46,1.61,1.73,4,,6.05,0.5,27295000,0.967914439,0.958490566,0.983957219,0.984433962,0.852886406,,,Outperformer
DaVita Inc.,DVA,United States,Health Care,Misc Health and Biotechnology Services,5.8,7.02,-0.34,0.09,0.2,4,3.94,6.54,0.25,524355000,0.166666667,0.656603774,0.5,0.297641509,1,1,11.5,Regular growth
Precision BioSciences Inc.,DTIL,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),-1.3,-1.29,-1.44,-0.21,0.05,4,,,-1.85,-22260000,0.326923077,0.439622642,0.076923077,0.102830189,,,,Regular growth
Design Therapeutics Inc.,DSGN,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.1,-0.69,-0.48,-1.84,-1.04,4,0.01,5.04,-0.19,-14587000,0.114081996,0.116981132,0.227272727,0.239150943,0.815642458,0.334280303,1.5,Underperformer
Alpha Tau Medical Ltd. Ordinary Shares,DRTS,Israel,Health Care,Biotechnology: Pharmaceutical Preparations,-0.5,-0.35,-0.31,-0.81,-0.31,4,0.07,1.23,-0.32,,0.227272727,0.228773585,0.289661319,0.309433962,0.43575419,0.535984848,1.5,Underperformer
DURECT Corporation,DRRX,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-1.6,-1.06,0.04,-17.22,0.04,4,1.61,0.25,-1.41,-9382000,0.010695187,0.013207547,0.52228164,0.548584906,0.208566108,0.922348485,0.3,Underperformer
Dermata Therapeutics Inc.,DRMA,United States,Health Care,Biotechnology: Pharmaceutical Preparations,-13.9,-19.67,0.64,-1.43,0.31,4,0,2.01,-1.6,-1771628,0.135472371,0.144339623,0.862745098,0.88490566,0.530726257,0.210227273,-25.8,Underperformer
DarioHealth Corp.,DRIO,Israel,Health Care,Medical/Dental Instruments,-2.5,-3.54,0.38,0.29,0.38,4,0.44,1.77,-0.78,-8926000,0.736842105,0.794339623,0.793859649,0.756132075,0.407079646,0.660550459,-1.1,Regular growth
